family,feature,coef_scaled,coef
DAIRY,transactions,6.834739759966362,0.006155647506548286
DELI,day_of_week,-4.410829386108785,-2.2045990581059716
DELI,dcoilwtico,2.526269938472735,0.09841666802064698
DELI,is_holiday,2.540896981266142,12.817942992256315
DELI,is_weekend,16.928826023184975,37.4768928547554
DELI,month,4.687248095317913,1.384438581500324
DELI,onpromotion,7.45609528814145,0.49174505163843807
DELI,promo_holiday,1.5512427014110424,0.5045582414032129
DELI,promo_weekend,-0.8757702144715159,-0.37188280294163156
DELI,rolling_mean_30,40.72572845475158,0.29421032216596743
DELI,sales_lag_14,56.44891010751603,0.3476228538662513
DELI,sales_lag_7,55.98013519359741,0.3443012852699638
DELI,transactions,3.6376111221144645,0.0032761820669155103
EGGS,day_of_week,-4.642574892698212,-2.3204289578423705
EGGS,dcoilwtico,1.9365668926143522,0.07544342671687124
